City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
2,Bontang,ID,83.3,heavy intensity rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
3,New Norfolk,AU,78.66,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
4,Muisne,EC,75.49,light rain,0.6,-80.0333,Quinta Samay
5,Vaini,TO,78.96,overcast clouds,-21.2,-175.2,Keleti Beach Resort
12,Boa Vista,BR,78.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
13,Rikitea,PF,78.91,overcast clouds,-23.1203,-134.9692,People ThankYou
18,Allapalli,IN,83.73,clear sky,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
22,Butaritari,KI,82.67,light rain,3.0707,172.7902,Isles Sunset Lodge
36,Bubaque,GW,76.08,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
39,Codrington,AU,88.23,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
42,Vao,NC,80.38,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
45,Poum,NC,81.81,overcast clouds,-20.2333,164.0167,
49,Calvinia,ZA,77.09,broken clouds,-31.4707,19.776,Die Lemoenhuis
50,Hambantota,LK,85.3,broken clouds,6.1241,81.1185,Bungalow 63
56,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
58,Malindi,KE,77.56,broken clouds,-3.2175,40.1191,African House Resort
63,Atuona,PF,78.26,light rain,-9.8,-139.0333,Villa Enata
65,Road Town,VG,75.0,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
74,Biak,ID,81.48,broken clouds,-0.9131,122.8766,Penginapan Kim
86,Cape Coast,GH,78.71,broken clouds,5.1053,-1.2466,Samrit Hotel
88,Kapaa,US,75.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
89,Merauke,ID,85.42,moderate rain,-8.4667,140.3333,
96,Faanui,PF,81.48,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
100,Hobart,AU,79.02,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
101,Cockburn Town,TC,77.05,clear sky,21.4612,-71.1419,Osprey Beach Hotel
112,Mount Gambier,AU,89.65,broken clouds,-37.8333,140.7667,The Commodore
114,Geraldton,AU,82.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
122,Mahibadhoo,MV,82.17,overcast clouds,3.7833,72.9667,Omadhoo Inn
125,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
127,Yarada,IN,79.12,haze,17.65,83.2667,Yarada Jungle Beach Resorts
131,Lorengau,PG,85.37,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
