City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.2078,-159.775,78.85,83,95,10.36,overcast clouds
1,Punta Arenas,CL,-53.15,-70.9167,51.91,71,75,27.63,broken clouds
2,Bontang,ID,0.1333,117.5,83.3,69,98,10.25,heavy intensity rain
3,New Norfolk,AU,-42.7826,147.0587,78.66,36,73,3.0,broken clouds
4,Muisne,EC,0.6,-80.0333,75.49,86,97,0.96,light rain
5,Vaini,TO,-21.2,-175.2,78.96,100,100,5.75,overcast clouds
6,Saskylakh,RU,71.9167,114.0833,-7.78,88,98,10.29,overcast clouds
7,Mataura,NZ,-46.1927,168.8643,59.49,43,0,2.46,clear sky
8,Bandiagara,ML,14.3501,-3.6104,66.99,13,0,9.19,clear sky
9,Mar Del Plata,AR,-38.0023,-57.5575,63.88,77,0,1.01,clear sky
10,Torbay,CA,47.6666,-52.7314,24.76,88,100,3.0,overcast clouds
11,Hermanus,ZA,-34.4187,19.2345,65.8,87,1,3.18,clear sky
12,Boa Vista,BR,2.8197,-60.6733,78.78,78,0,0.0,clear sky
13,Rikitea,PF,-23.1203,-134.9692,78.91,75,99,14.97,overcast clouds
14,Charlestown,AU,-32.95,151.6667,74.86,77,73,5.99,broken clouds
15,Albany,US,42.6001,-73.9662,35.31,93,100,3.42,overcast clouds
16,Kodiak,US,57.79,-152.4072,36.91,93,100,3.44,mist
17,Castro,BR,-24.7911,-50.0119,61.11,96,28,7.07,scattered clouds
18,Allapalli,IN,19.4167,80.0667,83.73,35,3,3.27,clear sky
19,Ushuaia,AR,-54.8,-68.3,56.12,97,100,4.76,light rain
20,Cape Town,ZA,-33.9258,18.4232,65.08,91,37,1.01,scattered clouds
21,Nikolskoye,RU,59.7035,30.7861,31.91,99,96,3.47,overcast clouds
22,Butaritari,KI,3.0707,172.7902,82.67,76,97,18.21,light rain
23,Puerto Ayora,EC,-0.7393,-90.3518,72.25,85,11,4.9,few clouds
24,Chapais,CA,49.7834,-74.8492,10.18,95,98,7.67,overcast clouds
25,Severo-Yeniseyskiy,RU,60.3725,93.0408,-7.55,90,90,4.43,overcast clouds
26,Sao Miguel Do Iguacu,BR,-25.3481,-54.2378,67.21,60,0,3.09,clear sky
27,Bredasdorp,ZA,-34.5322,20.0403,65.28,93,17,1.25,few clouds
28,Barrow,US,71.2906,-156.7887,-27.38,68,40,8.05,scattered clouds
29,Kununurra,AU,-15.7667,128.7333,93.18,55,100,3.44,overcast clouds
30,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,72.72,96,89,1.12,overcast clouds
31,Shimoda,JP,34.6667,138.95,46.11,50,93,12.26,overcast clouds
32,Ushtobe,KZ,45.2514,77.9838,27.5,90,100,11.25,overcast clouds
33,Vardo,NO,70.3705,31.1107,26.8,88,91,19.98,overcast clouds
34,Tessalit,ML,20.1986,1.0114,60.24,13,4,6.51,clear sky
35,Hilo,US,19.7297,-155.09,71.33,87,100,5.75,heavy intensity rain
36,Bubaque,GW,11.2833,-15.8333,76.08,72,10,10.69,clear sky
37,Katsuura,JP,35.1333,140.3,44.71,92,100,10.67,overcast clouds
38,Jamestown,US,42.097,-79.2353,27.99,86,100,6.91,overcast clouds
39,Codrington,AU,-38.2667,141.9667,88.23,19,48,8.59,scattered clouds
40,Brownsville,US,25.9018,-97.4975,53.55,78,40,5.75,scattered clouds
41,Sandwick,GB,60.0,-1.25,42.62,70,40,35.68,scattered clouds
42,Vao,NC,-22.6667,167.4833,80.38,86,18,15.93,few clouds
43,Portland,US,45.5234,-122.6762,49.21,91,100,3.0,overcast clouds
44,Provideniya,RU,64.3833,-173.3,-9.29,64,0,8.95,clear sky
45,Poum,NC,-20.2333,164.0167,81.81,86,100,26.51,overcast clouds
46,Tupik,RU,54.4253,119.9327,2.39,86,100,3.22,overcast clouds
47,Portobelo,PA,9.55,-79.65,74.86,72,65,8.93,broken clouds
48,Lewistown,US,40.5992,-77.5714,31.1,100,0,0.0,clear sky
