City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,97.05,30,38,7.76,AU,2022-02-03 07:39:44
1,Kavieng,-2.5744,150.7967,80.28,79,100,12.26,PG,2022-02-03 07:37:09
2,Richards Bay,-28.783,32.0377,90.28,52,9,9.44,ZA,2022-02-03 07:39:45
3,Dikson,73.5069,80.5464,-10.75,98,93,10.87,RU,2022-02-03 07:39:46
4,Ushuaia,-54.8,-68.3,40.66,65,75,20.71,AR,2022-02-03 07:37:23
5,Raudeberg,61.9875,5.1352,35.87,82,100,5.99,NO,2022-02-03 07:39:47
6,Baymak,52.5933,58.3225,21.87,95,99,8.39,RU,2022-02-03 07:39:47
7,Half Moon Bay,37.4636,-122.4286,55.62,50,0,3.44,US,2022-02-03 07:39:48
8,Silver City,32.7701,-108.2803,27.68,90,0,5.75,US,2022-02-03 07:39:49
9,Puerto Ayora,-0.7393,-90.3518,73.54,93,17,3.0,EC,2022-02-03 07:39:49
10,Souillac,-20.5167,57.5167,79.36,94,75,26.46,MU,2022-02-03 07:39:50
11,Berlevag,70.8578,29.0864,22.95,80,75,11.5,NO,2022-02-03 07:39:51
12,Strezhevoy,60.7333,77.5889,22.98,92,100,10.29,RU,2022-02-03 07:39:52
13,Carnarvon,-24.8667,113.6333,86.07,66,0,20.71,AU,2022-02-03 07:39:53
14,Hilo,19.7297,-155.09,70.79,89,75,3.44,US,2022-02-03 07:39:53
15,Mataura,-46.1927,168.8643,56.48,66,100,4.54,NZ,2022-02-03 07:39:54
16,Albany,42.6001,-73.9662,44.8,86,100,2.8,US,2022-02-03 07:39:54
17,Tiarei,-17.5333,-149.3333,82.0,77,16,20.87,PF,2022-02-03 07:39:55
18,Matara,5.9485,80.5353,85.21,55,5,7.36,LK,2022-02-03 07:39:55
19,Hobart,-42.8794,147.3294,64.02,59,75,1.01,AU,2022-02-03 07:37:49
20,Cape Town,-33.9258,18.4232,65.88,90,75,7.0,ZA,2022-02-03 07:39:56
21,San Jose,37.3394,-121.895,55.56,47,20,4.61,US,2022-02-03 07:39:16
22,Vila Franca Do Campo,37.7167,-25.4333,59.41,84,44,8.97,PT,2022-02-03 07:39:57
23,Hermanus,-34.4187,19.2345,64.9,80,99,15.05,ZA,2022-02-03 07:39:57
24,Esperance,-33.8667,121.9,85.84,52,8,24.58,AU,2022-02-03 07:39:58
25,Severo-Kurilsk,50.6789,156.125,29.82,82,100,11.77,RU,2022-02-03 07:38:58
26,Broken Hill,-31.95,141.4333,78.51,25,0,19.57,AU,2022-02-03 07:39:58
27,Bluff,-46.6,168.3333,56.8,61,100,14.83,NZ,2022-02-03 07:39:59
28,Butaritari,3.0707,172.7902,82.11,77,100,13.53,KI,2022-02-03 07:40:00
29,Rikitea,-23.1203,-134.9692,77.52,77,100,10.45,PF,2022-02-03 07:35:45
30,Lompoc,34.6391,-120.4579,52.11,56,0,4.61,US,2022-02-03 07:35:50
31,Ishinomaki,38.4167,141.3,37.4,76,29,12.28,JP,2022-02-03 07:40:02
32,Bubaque,11.2833,-15.8333,76.98,79,21,5.86,GW,2022-02-03 07:40:02
33,Mahajanga,-15.7167,46.3167,89.62,62,40,3.44,MG,2022-02-03 07:40:03
34,Rio Cuarto,-33.1307,-64.3499,57.83,66,91,5.06,AR,2022-02-03 07:40:04
35,Victoria,22.2855,114.1577,60.94,85,100,1.01,HK,2022-02-03 07:38:10
36,Laem Sing,12.4816,102.0738,89.94,64,97,10.51,TH,2022-02-03 07:40:05
37,Sao Filipe,14.8961,-24.4956,73.38,74,0,10.49,CV,2022-02-03 07:40:06
38,Tuatapere,-46.1333,167.6833,56.82,67,100,7.78,NZ,2022-02-03 07:40:07
39,Ilulissat,69.2167,-51.1,-3.78,65,100,9.64,GL,2022-02-03 07:40:08
40,Mahebourg,-20.4081,57.7,79.25,94,75,26.46,MU,2022-02-03 07:40:09
41,Zheleznodorozhnyy,55.7503,38.0042,18.12,92,94,4.7,RU,2022-02-03 07:40:10
42,Iranshahr,27.2025,60.6848,64.74,27,0,6.91,IR,2022-02-03 07:40:11
43,Yellowknife,62.456,-114.3525,-30.59,80,0,11.5,CA,2022-02-03 07:40:12
44,Marrakesh,31.6315,-8.0083,51.87,46,0,4.61,MA,2022-02-03 07:40:13
45,Hay River,60.8156,-115.7999,-27.42,75,20,5.75,CA,2022-02-03 07:37:24
46,Daru,-9.0763,143.2092,82.18,77,75,4.7,PG,2022-02-03 07:40:14
47,Bambous Virieux,-20.3428,57.7575,79.21,94,75,26.46,MU,2022-02-03 07:40:15
48,Pangai,-19.8,-174.35,81.03,78,14,13.62,TO,2022-02-03 07:40:16
49,Tabou,4.423,-7.3528,77.25,83,20,3.67,CI,2022-02-03 07:40:17
50,Puksoozero,62.5903,40.6066,12.15,93,100,2.21,RU,2022-02-03 07:40:17
51,Caranavi,-15.8167,-67.55,61.77,99,63,1.81,BO,2022-02-03 07:40:18
52,Rocha,-34.4833,-54.3333,66.09,98,100,5.88,UY,2022-02-03 07:40:19
53,Ocos,14.5094,-92.1933,75.0,81,1,5.66,GT,2022-02-03 07:40:20
54,Pevek,69.7008,170.3133,-7.96,76,0,4.32,RU,2022-02-03 07:40:21
55,Port Lincoln,-34.7333,135.8667,65.64,65,2,19.53,AU,2022-02-03 07:40:22
56,Katsuura,35.1333,140.3,52.11,44,84,2.13,JP,2022-02-03 07:40:23
57,Santa Maria,-29.6842,-53.8069,70.48,70,0,5.12,BR,2022-02-03 07:40:24
58,Bethel,41.3712,-73.414,39.51,92,100,0.0,US,2022-02-03 07:40:25
59,Port Alfred,-33.5906,26.891,73.44,86,99,10.92,ZA,2022-02-03 07:40:26
60,Vaini,-21.2,-175.2,78.96,94,40,2.3,TO,2022-02-03 07:40:27
61,Bengkulu,-3.8004,102.2655,85.62,62,83,5.93,ID,2022-02-03 07:39:55
62,Exeter,50.7236,-3.5275,46.72,94,75,1.14,GB,2022-02-03 07:40:28
63,Morro Bay,35.3658,-120.8499,52.25,49,0,8.39,US,2022-02-03 07:40:29
64,La Macarena,2.1837,-73.7849,71.74,58,96,2.06,CO,2022-02-03 07:40:29
65,Bredasdorp,-34.5322,20.0403,63.28,75,75,17.25,ZA,2022-02-03 07:39:58
66,Punta Arenas,-53.15,-70.9167,42.91,65,75,5.75,CL,2022-02-03 07:40:31
67,Sura,53.8879,45.7419,30.4,97,100,4.12,RU,2022-02-03 07:40:31
68,East London,-33.0153,27.9116,72.54,100,20,8.05,ZA,2022-02-03 07:40:32
69,Kruisfontein,-34.0033,24.7314,71.89,68,100,10.36,ZA,2022-02-03 07:40:33
70,Melfi,40.9965,15.6514,45.39,66,2,7.87,IT,2022-02-03 07:40:34
71,Avarua,-21.2078,-159.775,78.85,89,20,12.66,CK,2022-02-03 07:39:42
72,Qaanaaq,77.484,-69.3632,-12.82,74,99,8.12,GL,2022-02-03 07:40:35
73,Havre-Saint-Pierre,50.2334,-63.5986,30.79,100,100,9.22,CA,2022-02-03 07:40:36
74,Norman Wells,65.282,-126.8329,-30.96,68,40,3.44,CA,2022-02-03 07:40:37
75,Kyra,49.5776,111.9753,5.54,73,32,2.01,RU,2022-02-03 07:40:38
76,Billings,45.7833,-108.5007,5.36,77,0,0.0,US,2022-02-03 07:36:15
77,Oudtshoorn,-33.5907,22.2014,73.76,48,43,9.17,ZA,2022-02-03 07:40:39
78,Port Elizabeth,-33.918,25.5701,74.1,78,100,12.66,ZA,2022-02-03 07:40:40
79,Iqaluit,63.7506,-68.5145,5.7,84,100,11.99,CA,2022-02-03 07:40:40
80,Bathsheba,13.2167,-59.5167,77.61,73,20,13.8,BB,2022-02-03 07:40:41
81,Grandview,38.8858,-94.533,11.95,75,100,5.99,US,2022-02-03 07:40:00
82,Jalu,29.0331,21.5482,54.3,66,5,22.17,LY,2022-02-03 07:40:42
83,Cidreira,-30.1811,-50.2056,74.32,92,21,15.77,BR,2022-02-03 07:40:43
84,Prince Rupert,54.3161,-130.3201,39.29,100,100,4.61,CA,2022-02-03 07:37:15
85,Hovd,48.0056,91.6419,1.2,92,90,3.62,MN,2022-02-03 07:40:44
86,Codrington,-38.2667,141.9667,60.91,60,72,16.64,AU,2022-02-03 07:40:45
87,Wanning,18.8003,110.3967,68.29,77,66,14.09,CN,2022-02-03 07:40:46
88,Waingapu,-9.6567,120.2641,86.07,67,66,15.26,ID,2022-02-03 07:40:47
89,Alice Springs,-23.7,133.8833,76.55,47,100,14.97,AU,2022-02-03 07:40:48
90,Naze,28.3667,129.4833,56.32,83,100,21.18,JP,2022-02-03 07:40:49
91,Upernavik,72.7868,-56.1549,-8.21,63,100,7.99,GL,2022-02-03 07:40:50
92,New Norfolk,-42.7826,147.0587,63.66,47,71,4.0,AU,2022-02-03 07:40:15
93,Itarema,-2.9248,-39.9167,76.06,89,99,7.61,BR,2022-02-03 07:40:51
94,Sobolevo,54.4299,31.8996,24.04,96,98,5.61,RU,2022-02-03 07:40:51
95,Wattegama,6.7989,81.4808,88.72,34,2,2.8,LK,2022-02-03 07:40:52
96,Muisne,0.6,-80.0333,74.91,92,100,6.64,EC,2022-02-03 07:40:53
97,Jamestown,42.097,-79.2353,37.29,69,100,8.99,US,2022-02-03 07:38:31
98,Los Llanos De Aridane,28.6585,-17.9182,64.15,73,20,5.99,ES,2022-02-03 07:40:54
99,Mount Isa,-20.7333,139.5,83.97,61,100,16.11,AU,2022-02-03 07:40:55
100,Arraial Do Cabo,-22.9661,-42.0278,74.37,88,99,2.44,BR,2022-02-03 07:40:56
101,Ribeira Grande,38.5167,-28.7,55.8,82,20,9.22,PT,2022-02-03 07:40:57
102,Badou,7.5833,0.6,77.2,19,21,2.68,TG,2022-02-03 07:40:58
103,Tayzhina,53.6679,87.4362,13.66,87,98,0.85,RU,2022-02-03 07:40:59
